Experiment 1,,,,,,,,,,,,,,,,,
Experiment 1,83.3,78.8,73.0,76.7,40.8,39.5,40.9,69.8,70.7,73.5,65.0,42.7,66.1,79.5,61.2,25.6,22.8
Baseline,86.1,73.1,73.5,76.2,40.2,38.7,40.9,69.3,70.6,72.1,64.6,39.6,65.1,80.6,60.8,25.1,30.7
Experiment 2,,,,,,,,,,,,,,,,,
All,,,,,,,,,,,,,,,,,
Experiment 2,77.2,54.4,71.3,68.9,37.5,39.3,40.5,50.4,70.3,67.0,64.5,38.9,56.2,78.6,56.6,2.7,4.8
Baseline,79.1,61.2,72.8,69.1,37.7,38.5,40.6,56.8,70.3,68.8,63.8,44.4,56.4,79.9,56.4,3.2,6.0
Visible,,,,,,,,,,,,,,,,,
Experiment 2,83.3,78.7,72.3,76.4,40.6,39.5,40.9,69.8,70.6,73.5,65.0,42.5,66.1,79.4,61.2,25.6,22.8
Baseline,86.1,73.1,73.5,76.2,40.2,38.7,40.9,69.3,70.6,72.1,64.6,39.6,65.1,80.6,60.8,25.1,30.7
Not shown,,,,,,,,,,,,,,,,,
Experiment 2,0.0,43.1,0.0,25.1,10.8,3.5,0.2,28.8,63.2,48.8,29.3,35.9,1.3,71.9,12.3,0.0,0.0
Baseline,0.0,55.3,0.0,28.7,11.5,4.4,0.4,44.7,64.8,60.7,35.9,51.7,3.0,73.6,12.4,0.0,0.0
Experiment 3,,,,,,,,,,,,,,,,,
All,,,,,,,,,,,,,,,,,
Experiment 3,68.4,24.0,67.6,69.3,36.2,39.3,40.6,42.4,57.1,57.9,61.0,25.9,54.6,77.1,53.5,2.9,6.7
Baseline,79.1,61.2,72.8,69.1,37.7,38.5,40.6,56.8,70.3,68.8,63.8,44.4,56.4,79.9,56.4,3.2,6.0
Difference,-10.7,-37.2,-5.3,0.2,-1.5,0.8,0.0,-14.3,-13.2,-10.8,-2.8,-18.5,-1.8,-2.8,-3.0,-0.3,0.7
Visible,,,,,,,,,,,,,,,,,
Experiment 3,74.7,40.0,68.4,76.7,38.9,39.5,40.9,58.7,57.8,63.3,61.6,23.8,64.1,78.2,57.7,22.8,26.1
Baseline,86.1,73.1,73.5,76.2,40.2,38.7,40.9,69.3,70.6,72.1,64.6,39.6,65.1,80.6,60.8,25.1,30.7
Difference,-11.4,-33.1,-5.1,0.5,-1.3,0.8,0.0,-10.7,-12.8,-8.9,-2.9,-15.8,-1.0,-2.4,-3.1,-2.3,-4.6
Not shown,,,,,,,,,,,,,,,,,
